DNI,APE,TEMP_AMB,VEL_VIENTO,SMR,POTENCIA
643.38235,1.8162584,31.429,7.2644,0.949716122,86.00924902
643.38235,1.83633728,14.567,13.373,0.949967584,82.68411539
687.00981,1.880019747,29.698,1.9134,0.950678728,88.15611175
611.15196,1.83100066,34.443,9.9503,0.951365875,78.89760524
631.37255,1.82558004,34.552,10.7464,0.952954123,83.11801614
695.71079,1.851417769,17.208,0.8097,0.954259182,88.19579515
611.15196,1.853498767,16.912,2.502,0.955186716,76.8950939
647.42647,1.829998427,33.237,8.4037,0.955905178,81.49427276
697.05883,1.835828476,33.511,4.8123,0.956250248,97.1846559
682.96569,1.854401276,16.682,1.6348,0.956895005,88.77828009
603.79902,1.836074992,29.123,6.8467,0.95699102,85.39218416
697.79412,1.881814989,29.78,2.2791,0.957071159,89.27337891
647.42647,1.861012055,36.201,8.4853,0.957518376,83.79889636
684.31373,1.806382291,30.641,1.2335,0.957615292,85.06611297
682.96569,1.832585317,34.914,5.5612,0.957803529,90.49491177
696.44608,1.84619317,37.74,6.3211,0.957835471,89.59959179
627.32843,1.836556027,31.205,4.993,0.958915701,78.28441709
697.79412,1.847272129,35.023,15.252,0.960047821,91.76509002
623.28432,1.82718989,36.36,8.1563,0.960293566,81.40766636
683.70098,1.835703955,33.144,6.6014,0.960570332,90.04680239
652.08333,1.860804491,36.059,3.6259,0.960683661,83.71641255
698.40686,1.849058115,18.862,0.0465,0.961027653,91.15226028
612.5,1.829290277,35.319,7.1062,0.962336343,80.16317671
648.77451,1.866076261,34.837,6.3348,0.96261068,83.23342521
664.21569,1.836396557,30.482,7.951,0.964192834,98.33670191
662.2549,1.845365562,29.107,7.2677,0.964356697,89.19461162
637.9902,1.811006603,22.746,4.2862,0.964541344,82.25754213
685.66177,1.810802175,24.149,1.9342,0.965655402,84.23017567
695.09804,1.8317741,34.936,2.3826,0.965861181,91.86777973
656.86275,1.83003947,34.525,9.7735,0.967089963,88.05712179
650.7353,1.821515421,31.528,4.9508,0.967689418,88.35382302
615.19608,1.843364559,35.801,1.8286,0.969524759,88.84218233
649.50981,1.845642741,13.214,1.8773,0.969661263,81.51217065
677.57353,1.85512271,16.26,2.2288,0.969710733,86.35280878
656.12745,1.848339716,29.287,16.687,0.970679404,87.99399315
618.62745,1.808209042,24.182,2.8939,0.972120306,75.34291454
654.16667,1.851468827,29.556,10.332,0.972325661,87.61007191
629.28922,1.83341764,35.746,3.5526,0.973232822,82.69445968
650.12255,1.846515633,11.127,1.4141,0.973564833,77.43137636
695.71079,1.839687095,33.155,6.262,0.973605033,92.23128747
643.38235,1.841151936,30.942,3.1748,0.973866288,80.88082281
679.65686,1.843767191,38.305,3.1463,0.976277347,89.22063014
631.37255,1.845883088,14.414,1.0944,0.976522732,79.35372948
662.86765,1.882857032,35.587,6.3403,0.976915286,82.01718268
630.63726,1.846915847,12.863,2.2561,0.977546299,78.96819759
698.40686,1.845336519,13.861,1.5762,0.977698457,84.83157527
681.61765,1.831194569,39.039,10.454,0.977801282,85.16492582
632.72059,1.878079718,25.02,1.4147,0.979403302,81.72472868
681.61765,1.838078027,33.544,11.792,0.980496226,85.91656704
635.41667,1.879083119,24.943,1.522,0.981091944,82.11974716
